,Location,Identifier
1,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00001.jpg,A
2,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00002.jpg,A
3,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00003.jpg,A
4,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00004.jpg,A
5,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00005.jpg,A
6,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00006.jpg,A
7,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00007.jpg,A
8,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00008.jpg,A
9,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00009.jpg,A
10,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00010.jpg,A
11,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00011.jpg,A
12,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00012.jpg,A
13,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00013.jpg,A
14,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00014.jpg,A
15,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00015.jpg,A
16,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00016.jpg,A
17,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00017.jpg,A
18,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00018.jpg,A
19,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00019.jpg,A
20,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00020.jpg,A
21,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00021.jpg,A
22,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00033.jpg,A
23,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00034.jpg,A
24,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00035.jpg,A
25,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00036.jpg,A
26,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00037.jpg,A
27,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00038.jpg,A
28,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00039.jpg,A
29,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00040.jpg,A
30,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00041.jpg,A
31,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00042.jpg,A
32,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00043.jpg,A
33,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00044.jpg,A
34,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00045.jpg,A
35,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00046.jpg,A
36,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00047.jpg,A
37,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00048.jpg,A
38,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00049.jpg,A
39,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00050.jpg,A
40,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00051.jpg,A
41,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00081.jpg,A
42,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00082.jpg,A
43,https://sathyabucket1.s3.us-east-2.amazonaws.com/A-Z+Cropped/A1C/scene00083.jpg,A
