Year,LocationAbbr,LocationDesc,DataSource,Category,Indicator,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Number,WeightedNumber,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,CategoryID,IndicatorID,Geolocation,LocationID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2
2017,MA,Massachusetts,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by sex,Female,%,Age-adjusted Prevalence,12.7,12.7,,,10.8,14.9,404,"344,896",Disability Type,Cognitive Disability,,,DISEST,SEXIND,"(42.27687047, -72.082690675)",25,SEX02,AGEADJPREV,DISTYPE,COGDIS,,
2017,VT,Vermont,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,"(43.625381239, -72.517640791)",50,RACE03,AGEADJPREV,DISTYPE,COGDIS,,
2017,MI,Michigan,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Native Hawaiian or Other Pacific Islander, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,"(44.661319543001, -84.71439027)",26,RACE06,AGEADJPREV,DISTYPE,COGDIS,,
2017,HHS6,HHS Region 6,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,12.9,12.9,,,12,13.9,"3,806","3,497,516",Disability Type,Cognitive Disability,,,DISEST,VETIND,,85,VET2,AGEADJPREV,DISTYPE,COGDIS,,
2017,AK,Alaska,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,VETIND,"(64.845079957001, -147.722059036)",2,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2017,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,8.9,8.9,,,8.3,9.6,"1,340","242,943",Disability Type,Cognitive Disability,,,DISEST,AGEIND,,87,AGE02,PREV,DISTYPE,COGDIS,,
2017,HHS9,HHS Region 9,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,10.2,10.2,,,9.4,11,"2,998","3,420,241",Disability Type,Cognitive Disability,,,DISEST,VETIND,,88,VET2,AGEADJPREV,DISTYPE,COGDIS,,
2017,SC,South Carolina,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,12.1,12.1,,,10.9,13.5,512,"103,332",Disability Type,Cognitive Disability,,,DISEST,AGEIND,"(33.998821303, -81.045371207)",45,AGE03,PREV,DISTYPE,COGDIS,,
2017,HHS8,HHS Region 8,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,10.8,10.8,,,10,11.6,"1,285","462,549",Disability Type,Cognitive Disability,,,DISEST,AGEIND,,87,AGE01,PREV,DISTYPE,COGDIS,,
2017,PR,Puerto Rico,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,16.1,16.1,,,13.8,18.8,224,"98,851",Disability Type,Cognitive Disability,,,DISEST,AGEIND,,72,AGE03,PREV,DISTYPE,COGDIS,,
2017,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,Hispanic,%,Age-adjusted Prevalence,11.7,11.7,,,6.4,20.5,15,"1,004",Disability Type,Cognitive Disability,,,DISEST,RACEIND,,66,RACE03,AGEADJPREV,DISTYPE,COGDIS,,
2017,GU,Guam,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,,66,RACE02,AGEADJPREV,DISTYPE,COGDIS,,
2017,AZ,Arizona,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,45-64,%,Prevalence,12.1,12.1,,,11.1,13.3,601,"196,814",Disability Type,Cognitive Disability,,,DISEST,AGEIND,"(34.86597028, -111.763811277)",4,AGE02,PREV,DISTYPE,COGDIS,,
2017,VA,Virginia,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Veteran,%,Age-adjusted Prevalence,8.9,8.9,,,6.7,11.8,122,"80,174",Disability Type,Cognitive Disability,,,DISEST,VETIND,"(37.542680674, -78.457890463)",51,VET1,AGEADJPREV,DISTYPE,COGDIS,,
2017,MT,Montana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Other / Multirace, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,"(47.066528972, -109.424420645)",30,RACE04,AGEADJPREV,DISTYPE,COGDIS,,
2017,IN,Indiana,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,65+,%,Prevalence,8.1,8.1,,,7.2,9.1,392,"81,372",Disability Type,Cognitive Disability,,,DISEST,AGEIND,"(39.766910452, -86.149960194)",18,AGE03,PREV,DISTYPE,COGDIS,,
2017,KS,Kansas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by veteran status,Non-Veteran,%,Age-adjusted Prevalence,10.6,10.6,,,10,11.2,"1,682","195,510",Disability Type,Cognitive Disability,,,DISEST,VETIND,"(38.3477403, -98.200781227)",20,VET2,AGEADJPREV,DISTYPE,COGDIS,,
2017,WY,Wyoming,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by age group,18-44,%,Prevalence,11.6,11.6,,,9.5,14,113,"23,828",Disability Type,Cognitive Disability,,,DISEST,AGEIND,"(43.235541343, -108.109830353)",56,AGE01,PREV,DISTYPE,COGDIS,,
2017,HHS4,HHS Region 4,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Black, non-Hispanic",%,Age-adjusted Prevalence,13.8,13.8,,,12.7,15,"1,701","1,330,199",Disability Type,Cognitive Disability,,,DISEST,RACEIND,,83,RACE02,AGEADJPREV,DISTYPE,COGDIS,,
2017,TX,Texas,BRFSS,Disability Estimates,Disability status and types among adults 18 years of age or older by race/ethnicity,"Asian, non-Hispanic",%,Age-adjusted Prevalence,,,*,Data suppressed,,,,,Disability Type,Cognitive Disability,,,DISEST,RACEIND,"(31.827240407, -99.426770206)",48,RACE05,AGEADJPREV,DISTYPE,COGDIS,,
